"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version34 May 7 2020.CR6","30372","Flux_AmeriFluxFormat"
"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","G","SG","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_2_1_1","RH_2_1_1","T_DP_2_1_1","TA_3_1_1","RH_3_1_1","T_DP_3_1_1","VPD","T_SONIC","T_SONIC_SIGMA","PBLH","SWC_1_1_1","TS_1_1_1","TS_2_1_1","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT"
"TS","RN","","","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","umolCO2 m-2 s-1","adimensional","W m-2","adimensional","mm hour-1","adimensional","W m-2","adimensional","W m-2","W m-2","m","m","m","m","decimal degrees","m s-1","m s-1","m s-1","adimensional","kg m-1 s-2","adimensional","m","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","kPa","deg C","%","deg C","deg C","%","deg C","deg C","%","deg C","hPa","deg C","deg C","m","%","deg C","deg C","%","W m-2","W m-2","W m-2","W m-2","W m-2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Smp","Smp","Avg","Smp","Smp","Smp"
"2020-05-15 00:00:00",345,202005142330,202005150000,427.6448,1.997057,2.39191,0.1979059,5.575302,1,27.39109,1,0.04006938,1,-6.653796,1,36.32487,-5.794731,6.739121,165.777,25.54455,16.25303,239.4882,0.9771158,3.023221,0.1346373,0.03858183,0.02180559,1,42.6141,0.9140426,0.3856979,0,0.3282935,-1.490116E-08,0.237125,100.2404,15.60541,13.37419,-12.41096,16.943,12.34465,-12.35362,15.46642,21.66083,-6.363041,16.99414,17.16347,0.165601,155.0153,4.4793,18.60125,0,-0.2408655,-45.55299,10.25692,-1.326442,335.8644,393.0008
"2020-05-15 00:30:00",346,202005150000,202005150030,427.0999,1.628111,2.333333,0.137979,2.010964,7,8.725745,7,0.01276034,7,-2.044266,7,31.23998,-8.406556,11.45157,281.0122,42.8866,27.33856,258.4041,0.9635394,2.678483,0.0943504,0.03405382,0.01071797,1,48.28033,0.9145976,0.2821746,0,0.3258189,-7.450581E-09,0.1739786,100.209,15.21108,13.37544,-12.70592,16.59904,12.30356,-12.64647,14.96342,22.09979,-6.518163,16.63422,16.8139,0.1409089,161.1743,4.469035,18.46829,0,-0.3518007,-51.0607,-3.854855,-3.366479,338.0788,388.6511
"2020-05-15 01:00:00",347,202005150030,202005150100,426.6801,1.720385,2.34968,0.1790033,3.1392,1,14.24722,1,0.02083162,1,-10.77188,1,24.11888,-12.82171,7.403642,227.291,30.64624,19.16102,258.1194,1.011539,2.2627,0.1276534,0.08979936,0.01962763,1,18.30893,0.9573774,0.3211932,0,0.3545647,0,0.1771241,100.1953,15.0437,13.61414,-12.63313,16.43912,12.52107,-12.57331,14.63152,23.46451,-6.027782,16.42685,16.6553,0.1861495,128.5967,4.455154,18.29528,0,0,-40.78492,-7.366456,-4.036772,349.6157,387.0709
"2020-05-15 01:30:00",348,202005150100,202005150130,428.082,1.844687,2.511114,0.1987668,0.6514367,9,6.607641,9,0.009660337,9,0.5528965,9,19.26112,-14.52543,3.225411,54.2666,11.35126,6.775822,242.432,0.7476839,2.467672,0.1132974,-0.01231585,0.01547004,5,-133.4971,0.4611295,0.6009736,0,0.3461393,3.72529E-09,0.1650017,100.2196,14.9471,14.64756,-11.80926,16.32601,13.48479,-11.74972,14.61033,24.20223,-5.641654,16.13166,16.55709,0.2563523,1449.921,4.449897,18.06623,0,0,-36.1766,-7.00846,-3.723972,354.0595,386.9516
"2020-05-15 02:00:00",349,202005150130,202005150200,429.0929,2.171241,2.475558,0.1643822,-0.1981106,8,-1.127664,8,-0.001647996,8,0.2870652,8,20.04472,-10.70168,12.56436,181.7163,37.71273,25.20571,301.6683,0.5760167,1.173002,0.05504821,-0.0247658,0.003656496,8,-66.38712,0.5242469,0.2546299,0,0.2234351,-3.72529E-09,0.06770103,100.1992,14.4838,14.86734,-11.98138,15.91981,13.63004,-11.91935,14.18181,25.20987,-5.467142,15.689,16.14694,0.1468295,1482.393,4.432352,17.86502,0,0,-34.16355,-6.696167,-3.121739,354.4795,385.0685
"2020-05-15 02:30:00",350,202005150200,202005150230,429.743,1.85105,2.431307,0.1443869,0.3731317,7,1.517959,7,0.002218114,7,-1.49729,7,13.80998,-14.08421,15.86398,609.1286,71.47408,42.96381,286.0155,0.7879525,1.381626,0.05748124,0.1395133,0.003988016,3,11.78475,0.7227807,0.2722636,0,0.3115493,-7.450581E-09,0.07923233,100.1829,14.40102,14.68069,-12.20028,15.79364,13.49331,-12.1402,14.03456,25.23147,-5.607209,15.58762,16.01681,0.1544826,121.5052,4.417763,17.64903,0,0,-31.07806,-6.733752,-3.508277,356.3037,384.1563
"2020-05-15 03:00:00",351,202005150230,202005150300,427.9619,1.417537,2.355957,0.116264,1.056296,2,3.042272,7,0.004446355,7,-7.693015,1,12.21444,-13.06773,10.12857,375.9841,45.09586,27.47306,354.2885,1.025085,2.427407,0.09781889,0.1513066,0.01153411,6,10.86621,0.9004066,0.3516583,0,0.4617201,0,0.1417278,100.1179,14.5672,14.06342,-12.59385,15.99119,12.90463,-12.53268,13.98791,24.87598,-5.807941,15.89359,16.20707,0.1877709,120.5068,4.412925,17.42526,0,0,-29.24074,-6.307028,-3.926649,356.655,383.5154
"2020-05-15 03:30:00",352,202005150300,202005150330,427.7538,3.024313,2.412047,0.2378044,0.1360804,8,2.089548,8,0.003053788,8,-4.856677,8,10.40432,-12.50306,4.807846,114.6882,17.98678,11.56741,316.0952,0.9528897,1.613673,0.1355556,0.03582105,0.02214984,7,45.89842,0.7445493,0.3055784,0,0.5660273,-1.490116E-08,0.1275828,100.1029,14.49229,14.47828,-12.34315,15.94404,13.27368,-12.2807,13.95384,25.29423,-5.658794,15.78658,16.16556,0.3578819,158.5852,4.413727,17.21176,0,0,-26.82933,-6.408531,-4.097682,358.473,382.9914
