"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version34 May 7 2020.CR6","30372","Met_Data"
"TIMESTAMP","RECORD","LWMDry_Tot","LWMCon_Tot","LWMWet_Tot","Current_Avg","Current_Max","Frequency","WS_ms","Mean_WindDir","WindDir_SD","WS_ms_Max","WindDir_Max","CMP10_Solar_uWm2_Avg","CMP10_Solar_uWm2_Std","Temp1_Avg","Temp2_Avg","Temp3_Avg","Temp4_Avg","Temp5_Avg","Temp6_Avg","Temp7_Avg","Temp8_Avg","RH1","RH2","RH3","RH4","RH5","RH6","RH7","RH8"
"TS","RN","Minutes","Minutes","Minutes","Amps_rms","Amps_rms","Hz","meters/second","Deg","Deg","meters/second","Degrees","uW/mÂ²","uW/mÂ²","DegC","DegC","DegC","DegC","DegC","DegC","DegC","DegC","%","%","%","%","%","%","%","%"
"","","Tot","Tot","Tot","Avg","Max","Smp","WVc","WVc","WVc","Max","Max","Avg","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-05-07 23:53:00",284,0,1,0,0,0,0,2.445,250.1,15.46,3.528,275.4,0.9155204,0.02440737,10.54618,10.47139,10.45826,10.4504,10.37175,10.51584,10.38491,10.56481,44.31,44.37,44.32,44.43,44.37,44.29,44.33,44.36
"2020-05-07 23:54:00",285,0,1,0,0,0,0,2.234,295.5,37.09,3.136,342.9,0.8417654,0.0216623,10.52319,10.43438,10.44957,10.40728,10.33068,10.4713,10.35363,10.52822,44.79,44.72,44.77,44.83,44.69,44.68,44.75,44.89
"2020-05-07 23:55:00",286,0,1,0,0,0,0,1.223,315.5,54.3,2.96,340.2,0.7840807,0.02563516,10.49946,10.4318,10.42768,10.40575,10.3302,10.47888,10.3356,10.52122,45.12,45.04,45.04,45.11,44.98,44.96,45.03,45.16
"2020-05-07 23:56:00",287,0,1,0,0,0,0,2.667,284.4,39.82,5.096,326.3,0.6587573,0.0427846,10.49946,10.43297,10.40366,10.40527,10.32184,10.48052,10.33853,10.52036,45.8,45.73,45.79,45.83,45.72,45.67,45.74,45.86
"2020-05-07 23:57:00",288,0,1,0,0,0,0,3.324,302.6,23.37,5.821,340.6,0.5257586,0.04071436,10.47663,10.37581,10.38793,10.36086,10.26513,10.41692,10.26277,10.50159,46.7,46.75,46.83,46.9,46.78,46.78,46.82,46.75
"2020-05-07 23:58:00",289,0,1,0,0,0,0,2.502,323.2,45.85,6.899,348.5,0.2802686,0.03180273,10.37401,10.28297,10.2985,10.27045,10.17809,10.31912,10.17332,10.40578,47.9,47.97,48.05,48.1,48,48.04,48.19,47.91
"2020-05-07 23:59:00",290,0,1,0,0,0,0,1.686,287.2,46.7,3.665,329.6,0.1273621,0.06761696,10.27055,10.17511,10.19246,10.15672,10.06717,10.20892,10.06016,10.3053,48.75,48.64,48.88,48.75,48.68,48.66,48.8,48.81
"2020-05-08 00:00:00",291,0,1,0,0,0,0,2.803,306.6,24.11,5.096,339.4,0,0,10.19487,10.09294,10.11193,10.08576,9.980221,10.12531,9.986481,10.22655,48.56,48.71,48.65,48.71,48.77,48.73,48.82,48.61
"2020-05-08 00:01:00",292,0,1,0,0,0,0,4.315,282.9,20.72,6.292,324.8,0,0,10.06159,9.960577,9.97561,9.963195,9.84971,10.00124,9.863144,10.09454,48.88,49,49.01,49.17,48.98,48.95,48.94,48.92
"2020-05-08 00:02:00",293,0,0.5,0.5,0,0,0,4.144,296.3,25.15,8.15,329.6,0,0,9.893729,9.805678,9.811949,9.797132,9.687666,9.832677,9.695721,9.933875,49.9,49.84,49.98,49.98,49.82,49.82,49.8,50.07
"2020-05-08 00:03:00",294,0,0,1,0,0,0,4.346,296.9,31.98,6.997,329.6,0,0,9.737011,9.64897,9.659544,9.644881,9.530952,9.677823,9.536927,9.787267,51.26,51.22,51.39,51.41,51.13,50.97,50.81,51.29
"2020-05-08 00:04:00",295,0,0.083,0.917,0,0,0,4.544,295.5,17.63,7.546,326.3,0,0,9.614607,9.525311,9.533687,9.519183,9.408431,9.566241,9.410895,9.651195,51.43,51.43,51.48,51.54,51.29,51.09,51.07,51.45
"2020-05-08 00:05:00",296,0,0.917,0.083,0,0,0,3.835,301.5,47.76,6.409,332.7,0,0,9.519482,9.435122,9.44206,9.433807,9.331011,9.473475,9.332099,9.553651,52.23,51.93,52.18,52.12,51.77,51.55,51.5,52.45
"2020-05-08 00:06:00",297,0,1,0,0,0,0,2.344,272.6,39.69,4.43,330.3,0,0,9.447998,9.362835,9.372046,9.34558,9.257909,9.403619,9.25747,9.489774,53.25,52.28,52.88,52.65,52.19,52.1,51.98,53.73
"2020-05-08 00:07:00",298,0,0.917,0.083,0,0,0,3.319,298,27.48,6.821,333.8,0,0,9.388614,9.309269,9.311945,9.296643,9.204816,9.345837,9.207541,9.434758,52.62,52.38,52.53,52.6,52.32,52.07,52.05,52.72
