"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version34 May 7 2020.CR6","30372","SDMS40_Data"
"TIMESTAMP","RECORD","SDMS40_Depth_Avg","SDMS40_Board_Temperature","SDMS40_Heater_Low_Threshold_Temperature","SDMS40_Laser_Temperature","SDMS40_Depth_Points(1)","SDMS40_Depth_Points(2)","SDMS40_Depth_Points(3)","SDMS40_Depth_Points(4)","SDMS40_Depth_Points(5)","SDMS40_Depth_Points(6)","SDMS40_Depth_Points(7)","SDMS40_Depth_Points(8)","SDMS40_Depth_Points(9)","SDMS40_Depth_Points(10)","SDMS40_Depth_Points(11)","SDMS40_Depth_Points(12)","SDMS40_Depth_Points(13)","SDMS40_Depth_Points(14)","SDMS40_Depth_Points(15)","SDMS40_Depth_Points(16)","SDMS40_Depth_Points(17)","SDMS40_Depth_Points(18)","SDMS40_Depth_Points(19)","SDMS40_Depth_Points(20)","SDMS40_Depth_Points(21)","SDMS40_Depth_Points(22)","SDMS40_Depth_Points(23)","SDMS40_Depth_Points(24)","SDMS40_Depth_Points(25)","SDMS40_Depth_Points(26)","SDMS40_Depth_Points(27)","SDMS40_Depth_Points(28)","SDMS40_Depth_Points(29)","SDMS40_Depth_Points(30)","SDMS40_Depth_Points(31)","SDMS40_Depth_Points(32)","SDMS40_Depth_Points(33)","SDMS40_Depth_Points(34)","SDMS40_Depth_Points(35)","SDMS40_Depth_Points(36)","SDMS40_Distance_Points(1)","SDMS40_Distance_Points(2)","SDMS40_Distance_Points(3)","SDMS40_Distance_Points(4)","SDMS40_Distance_Points(5)","SDMS40_Distance_Points(6)","SDMS40_Distance_Points(7)","SDMS40_Distance_Points(8)","SDMS40_Distance_Points(9)","SDMS40_Distance_Points(10)","SDMS40_Distance_Points(11)","SDMS40_Distance_Points(12)","SDMS40_Distance_Points(13)","SDMS40_Distance_Points(14)","SDMS40_Distance_Points(15)","SDMS40_Distance_Points(16)","SDMS40_Distance_Points(17)","SDMS40_Distance_Points(18)","SDMS40_Distance_Points(19)","SDMS40_Distance_Points(20)","SDMS40_Distance_Points(21)","SDMS40_Distance_Points(22)","SDMS40_Distance_Points(23)","SDMS40_Distance_Points(24)","SDMS40_Distance_Points(25)","SDMS40_Distance_Points(26)","SDMS40_Distance_Points(27)","SDMS40_Distance_Points(28)","SDMS40_Distance_Points(29)","SDMS40_Distance_Points(30)","SDMS40_Distance_Points(31)","SDMS40_Distance_Points(32)","SDMS40_Distance_Points(33)","SDMS40_Distance_Points(34)","SDMS40_Distance_Points(35)","SDMS40_Distance_Points(36)"
"TS","RN","mm","Deg C","Deg C","Deg C","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-05-14 23:52:00",10363,2,20,5,19,-2,9,7,-1,-1,-7,34,3,1,-2,18,2,-5,-5,-2,13,2,-8,2,-2,-1,1,-2,0,-1,1,-1,-1,1,-4,-1,1,-2,2,1,21,3697,3611,3570,3540,3498,3446,3350,3360,3328,3295,3254,3262,3255,3252,3250,3239,3272,3286,3312,3345,3389,3436,3473,3521,3555,3621,3671,3717,3752,3788,3826,3855,3873,3887,3870,3840
"2020-05-14 23:53:00",10364,2,20,5,19,-2,8,4,-1,-1,-7,38,3,0,-2,18,2,-5,-5,-2,12,2,-10,2,-1,-1,1,-2,0,-1,1,-1,-1,1,-3,0,1,-2,2,1,22,3697,3612,3574,3540,3498,3446,3345,3360,3329,3295,3254,3262,3255,3252,3250,3240,3272,3289,3312,3344,3389,3436,3473,3521,3554,3621,3671,3717,3752,3787,3825,3856,3873,3887,3870,3839
"2020-05-14 23:54:00",10365,2,20,5,19,-1,9,6,-2,-2,-7,43,3,1,-2,18,2,-5,-5,-2,10,2,-10,2,-2,-2,2,-2,0,-2,1,-1,-1,1,-4,-1,1,-2,2,1,22,3696,3611,3571,3541,3499,3446,3338,3360,3328,3294,3253,3262,3255,3252,3250,3242,3272,3289,3312,3345,3390,3435,3473,3521,3556,3622,3671,3717,3752,3788,3826,3855,3873,3887,3870,3839
"2020-05-14 23:55:00",10366,2,20,5,19,-1,9,7,-1,-2,-8,30,3,0,-3,18,2,-5,-5,-2,11,2,-10,2,-2,-2,2,-2,0,-1,1,-1,-1,1,-4,-1,1,-2,2,1,22,3696,3610,3569,3540,3499,3447,3355,3360,3329,3296,3254,3262,3255,3252,3250,3241,3272,3289,3312,3345,3390,3435,3473,3521,3555,3622,3671,3717,3752,3788,3826,3855,3873,3887,3870,3838
"2020-05-14 23:56:00",10367,2,20,5,19,-2,7,5,-2,-2,-7,31,3,1,-3,18,3,-5,-5,-2,11,2,-10,2,-1,-1,2,-2,0,-1,1,-1,-1,1,-3,-1,1,-2,2,1,22,3697,3613,3572,3541,3499,3446,3354,3360,3328,3296,3254,3261,3255,3252,3250,3241,3272,3289,3312,3344,3389,3435,3473,3521,3555,3622,3671,3717,3752,3787,3826,3855,3873,3887,3870,3839
"2020-05-14 23:57:00",10368,1,20,5,19,-2,9,4,-1,-2,-7,-923,3,0,-3,18,2,-5,-5,-2,13,2,-10,2,-1,-1,2,-2,0,-1,1,-1,-1,1,-4,-1,1,-2,2,1,22,3697,3611,3573,3540,3499,3446,3333,3360,3329,3296,3254,3263,3255,3252,3250,3239,3272,3288,3313,3344,3389,3435,3473,3521,3555,3621,3671,3717,3752,3788,3827,3855,3873,3887,3870,3838
"2020-05-14 23:58:00",10369,2,20,5,19,-2,7,4,-1,-2,-7,44,3,0,-3,18,3,-5,-4,-2,12,2,-6,2,-2,-1,2,-2,0,-1,1,-1,-1,1,-3,-1,1,-2,2,1,22,3697,3613,3574,3540,3499,3446,3337,3360,3329,3296,3254,3261,3255,3251,3250,3240,3272,3284,3312,3345,3389,3435,3473,3521,3554,3622,3671,3717,3752,3787,3826,3856,3873,3887,3870,3839
"2020-05-14 23:59:00",10370,2,20,5,19,-2,8,6,-1,-2,-7,28,3,0,-4,18,2,-5,-5,-2,13,2,-9,2,-2,-1,2,-2,0,-2,1,-1,-1,1,-4,-1,1,-2,2,1,22,3697,3612,3571,3540,3499,3446,3358,3360,3329,3297,3254,3262,3255,3252,3250,3239,3272,3287,3312,3346,3389,3435,3473,3521,3556,3621,3671,3717,3752,3788,3826,3856,3873,3887,3870,3839
"2020-05-15 00:00:00",10371,2,20,5,19,-1,10,7,-2,-2,-8,27,2,0,-4,18,2,-5,-5,-2,13,1,-10,2,-1,-1,2,-1,0,-2,0,-1,-1,1,-3,-1,1,-2,2,0,21,3696,3609,3569,3541,3499,3447,3359,3361,3329,3297,3254,3262,3255,3252,3250,3239,3273,3289,3312,3344,3389,3435,3472,3521,3556,3623,3671,3717,3751,3786,3826,3855,3873,3887,3871,3840
"2020-05-15 00:01:00",10372,2,20,5,19,-1,10,6,-1,-2,-7,35,2,0,-3,18,2,-5,-4,-2,14,1,-10,2,-2,-1,2,-2,0,-1,1,-1,-1,1,-4,-1,1,-2,2,1,22,3696,3609,3571,3540,3499,3446,3349,3361,3329,3296,3254,3263,3255,3251,3250,3238,3273,3289,3312,3345,3389,3435,3473,3521,3555,3622,3671,3717,3752,3788,3826,3855,3873,3887,3870,3839
"2020-05-15 00:02:00",10373,2,20,5,19,-3,7,4,-1,-2,-7,29,3,0,-3,18,2,-5,-4,-2,12,2,-9,2,-2,-1,1,-2,0,-1,1,-1,-1,1,-5,-1,1,-2,2,1,22,3698,3613,3574,3540,3499,3446,3356,3360,3329,3296,3254,3262,3255,3251,3250,3240,3272,3287,3312,3346,3389,3436,3473,3521,3555,3622,3671,3717,3752,3789,3826,3856,3873,3887,3870,3838
