"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version34 May 7 2020.CR6","30372","SR50A_Data"
"TIMESTAMP","RECORD","SR50A_SnowDepth","Corrected_Dist_To_Ground","SR50A_QualityVal"
"TS","RN","m","",""
"","","Smp","Smp","Smp"
"2020-05-14 23:53:00",10364,-0.011,2.737,172
"2020-05-14 23:54:00",10365,-0.011,2.737,172
"2020-05-14 23:55:00",10366,-0.011,2.737,172
"2020-05-14 23:56:00",10367,-0.011,2.737,172
"2020-05-14 23:57:00",10368,-0.011,2.737,172
"2020-05-14 23:58:00",10369,-0.011,2.737,172
"2020-05-14 23:59:00",10370,-0.011,2.737,172
"2020-05-15 00:00:00",10371,-0.011,2.737,172
"2020-05-15 00:01:00",10372,-0.011,2.737,172
"2020-05-15 00:02:00",10373,-0.011,2.737,172
"2020-05-15 00:03:00",10374,-0.011,2.737,178
"2020-05-15 00:04:00",10375,-0.011,2.737,178
"2020-05-15 00:05:00",10376,-0.011,2.737,178
"2020-05-15 00:06:00",10377,-0.011,2.737,178
"2020-05-15 00:07:00",10378,-0.011,2.737,178
"2020-05-15 00:08:00",10379,-0.011,2.737,178
"2020-05-15 00:09:00",10380,-0.011,2.737,178
"2020-05-15 00:10:00",10381,-0.011,2.737,178
"2020-05-15 00:11:00",10382,-0.011,2.737,178
"2020-05-15 00:12:00",10383,-0.011,2.737,178
"2020-05-15 00:13:00",10384,-0.011,2.737,178
"2020-05-15 00:14:00",10385,-0.011,2.737,178
"2020-05-15 00:15:00",10386,-0.011,2.737,178
"2020-05-15 00:16:00",10387,-0.011,2.737,178
"2020-05-15 00:17:00",10388,-0.011,2.737,178
"2020-05-15 00:18:00",10389,-0.011,2.737,178
"2020-05-15 00:19:00",10390,-0.011,2.737,178
"2020-05-15 00:20:00",10391,-0.011,2.737,178
"2020-05-15 00:21:00",10392,-0.011,2.737,178
"2020-05-15 00:22:00",10393,-0.011,2.737,178
"2020-05-15 00:23:00",10394,-0.011,2.737,178
"2020-05-15 00:24:00",10395,-0.011,2.737,178
"2020-05-15 00:25:00",10396,-0.011,2.737,178
"2020-05-15 00:26:00",10397,-0.011,2.737,178
"2020-05-15 00:27:00",10398,-0.011,2.737,178
"2020-05-15 00:28:00",10399,-0.011,2.737,178
"2020-05-15 00:29:00",10400,-0.011,2.737,178
"2020-05-15 00:30:00",10401,-0.011,2.737,178
"2020-05-15 00:31:00",10402,-0.011,2.737,178
"2020-05-15 00:32:00",10403,-0.011,2.737,174
"2020-05-15 00:33:00",10404,-0.011,2.737,174
"2020-05-15 00:34:00",10405,-0.011,2.737,174
"2020-05-15 00:35:00",10406,-0.011,2.737,174
"2020-05-15 00:36:00",10407,-0.011,2.737,174
"2020-05-15 00:37:00",10408,-0.011,2.737,174
"2020-05-15 00:38:00",10409,-0.011,2.737,174
"2020-05-15 00:39:00",10410,-0.011,2.737,174
"2020-05-15 00:40:00",10411,-0.011,2.737,174
"2020-05-15 00:41:00",10412,-0.011,2.737,174
"2020-05-15 00:42:00",10413,-0.011,2.737,174
"2020-05-15 00:43:00",10414,-0.011,2.737,174
"2020-05-15 00:44:00",10415,-0.011,2.737,174
"2020-05-15 00:45:00",10416,-0.011,2.737,174
"2020-05-15 00:46:00",10417,-0.011,2.737,174
"2020-05-15 00:47:00",10418,-0.011,2.737,174
"2020-05-15 00:48:00",10419,-0.011,2.737,174
"2020-05-15 00:49:00",10420,-0.011,2.737,174
"2020-05-15 00:50:00",10421,-0.011,2.737,174
"2020-05-15 00:51:00",10422,-0.011,2.737,174
"2020-05-15 00:52:00",10423,-0.011,2.737,174
"2020-05-15 00:53:00",10424,-0.011,2.737,174
"2020-05-15 00:54:00",10425,-0.011,2.737,174
"2020-05-15 00:55:00",10426,-0.011,2.737,174
"2020-05-15 00:56:00",10427,-0.011,2.737,174
"2020-05-15 00:57:00",10428,-0.011,2.737,174
"2020-05-15 00:58:00",10429,-0.011,2.737,174
"2020-05-15 00:59:00",10430,-0.011,2.737,174
"2020-05-15 01:00:00",10431,-0.011,2.737,174
"2020-05-15 01:01:00",10432,-0.009,2.735,181
"2020-05-15 01:02:00",10433,-0.009,2.735,181
"2020-05-15 01:03:00",10434,-0.009,2.735,181
"2020-05-15 01:04:00",10435,-0.009,2.735,181
"2020-05-15 01:05:00",10436,-0.009,2.735,181
"2020-05-15 01:06:00",10437,-0.009,2.735,181
"2020-05-15 01:07:00",10438,-0.009,2.735,181
"2020-05-15 01:08:00",10439,-0.009,2.735,181
"2020-05-15 01:09:00",10440,-0.009,2.735,181
"2020-05-15 01:10:00",10441,-0.009,2.735,181
"2020-05-15 01:11:00",10442,-0.009,2.735,181
"2020-05-15 01:12:00",10443,-0.009,2.735,181
"2020-05-15 01:13:00",10444,-0.009,2.735,181
"2020-05-15 01:14:00",10445,-0.009,2.735,181
"2020-05-15 01:15:00",10446,-0.009,2.735,181
"2020-05-15 01:16:00",10447,-0.009,2.735,181
"2020-05-15 01:17:00",10448,-0.009,2.735,181
"2020-05-15 01:18:00",10449,-0.009,2.735,181
"2020-05-15 01:19:00",10450,-0.009,2.735,181
"2020-05-15 01:20:00",10451,-0.009,2.735,181
"2020-05-15 01:21:00",10452,-0.009,2.735,181
"2020-05-15 01:22:00",10453,-0.009,2.735,181
"2020-05-15 01:23:00",10454,-0.009,2.735,181
"2020-05-15 01:24:00",10455,-0.009,2.735,181
"2020-05-15 01:25:00",10456,-0.009,2.735,181
"2020-05-15 01:26:00",10457,-0.009,2.735,181
"2020-05-15 01:27:00",10458,-0.009,2.735,181
"2020-05-15 01:28:00",10459,-0.009,2.735,181
"2020-05-15 01:29:00",10460,-0.009,2.735,181
"2020-05-15 01:30:00",10461,-0.008,2.735,187
"2020-05-15 01:31:00",10462,-0.008,2.735,187
"2020-05-15 01:32:00",10463,-0.008,2.735,187
"2020-05-15 01:33:00",10464,-0.008,2.735,187
"2020-05-15 01:34:00",10465,-0.008,2.735,187
"2020-05-15 01:35:00",10466,-0.008,2.735,187
"2020-05-15 01:36:00",10467,-0.008,2.735,187
"2020-05-15 01:37:00",10468,-0.008,2.735,187
"2020-05-15 01:38:00",10469,-0.008,2.735,187
"2020-05-15 01:39:00",10470,-0.008,2.735,187
"2020-05-15 01:40:00",10471,-0.008,2.735,187
"2020-05-15 01:41:00",10472,-0.008,2.735,187
"2020-05-15 01:42:00",10473,-0.008,2.735,187
"2020-05-15 01:43:00",10474,-0.008,2.735,187
"2020-05-15 01:44:00",10475,-0.008,2.735,187
"2020-05-15 01:45:00",10476,-0.008,2.735,187
"2020-05-15 01:46:00",10477,-0.008,2.735,187
"2020-05-15 01:47:00",10478,-0.008,2.735,187
"2020-05-15 01:48:00",10479,-0.008,2.735,187
"2020-05-15 01:49:00",10480,-0.008,2.735,187
"2020-05-15 01:50:00",10481,-0.008,2.735,187
"2020-05-15 01:51:00",10482,-0.008,2.735,187
"2020-05-15 01:52:00",10483,-0.008,2.735,187
"2020-05-15 01:53:00",10484,-0.008,2.735,187
"2020-05-15 01:54:00",10485,-0.008,2.735,187
"2020-05-15 01:55:00",10486,-0.008,2.735,187
"2020-05-15 01:56:00",10487,-0.008,2.735,187
"2020-05-15 01:57:00",10488,-0.008,2.735,187
"2020-05-15 01:58:00",10489,-0.008,2.735,187
"2020-05-15 01:59:00",10490,-0.009,2.736,182
"2020-05-15 02:00:00",10491,-0.009,2.736,182
"2020-05-15 02:01:00",10492,-0.009,2.736,182
"2020-05-15 02:02:00",10493,-0.009,2.736,182
"2020-05-15 02:03:00",10494,-0.009,2.736,182
"2020-05-15 02:04:00",10495,-0.009,2.736,182
"2020-05-15 02:05:00",10496,-0.009,2.736,182
"2020-05-15 02:06:00",10497,-0.009,2.736,182
"2020-05-15 02:07:00",10498,-0.009,2.736,182
"2020-05-15 02:08:00",10499,-0.009,2.736,182
"2020-05-15 02:09:00",10500,-0.009,2.736,182
"2020-05-15 02:10:00",10501,-0.009,2.736,182
"2020-05-15 02:11:00",10502,-0.009,2.736,182
"2020-05-15 02:12:00",10503,-0.009,2.736,182
"2020-05-15 02:13:00",10504,-0.009,2.736,182
"2020-05-15 02:14:00",10505,-0.009,2.736,182
"2020-05-15 02:15:00",10506,-0.009,2.736,182
"2020-05-15 02:16:00",10507,-0.009,2.736,182
"2020-05-15 02:17:00",10508,-0.009,2.736,182
"2020-05-15 02:18:00",10509,-0.009,2.736,182
"2020-05-15 02:19:00",10510,-0.009,2.736,182
"2020-05-15 02:20:00",10511,-0.009,2.736,182
"2020-05-15 02:21:00",10512,-0.009,2.736,182
"2020-05-15 02:22:00",10513,-0.009,2.736,182
"2020-05-15 02:23:00",10514,-0.009,2.736,182
"2020-05-15 02:24:00",10515,-0.009,2.736,182
"2020-05-15 02:25:00",10516,-0.009,2.736,182
"2020-05-15 02:26:00",10517,-0.009,2.736,182
"2020-05-15 02:27:00",10518,-0.009,2.736,182
"2020-05-15 02:28:00",10519,-0.008,2.735,187
"2020-05-15 02:29:00",10520,-0.008,2.735,187
"2020-05-15 02:30:00",10521,-0.008,2.735,187
"2020-05-15 02:31:00",10522,-0.008,2.735,187
"2020-05-15 02:32:00",10523,-0.008,2.735,187
"2020-05-15 02:33:00",10524,-0.008,2.735,187
"2020-05-15 02:34:00",10525,-0.008,2.735,187
"2020-05-15 02:35:00",10526,-0.008,2.735,187
"2020-05-15 02:36:00",10527,-0.008,2.735,187
"2020-05-15 02:37:00",10528,-0.008,2.735,187
"2020-05-15 02:38:00",10529,-0.008,2.735,187
"2020-05-15 02:39:00",10530,-0.008,2.735,187
"2020-05-15 02:40:00",10531,-0.008,2.735,187
"2020-05-15 02:41:00",10532,-0.008,2.735,187
"2020-05-15 02:42:00",10533,-0.008,2.735,187
"2020-05-15 02:43:00",10534,-0.008,2.735,187
"2020-05-15 02:44:00",10535,-0.008,2.735,187
"2020-05-15 02:45:00",10536,-0.008,2.735,187
"2020-05-15 02:46:00",10537,-0.008,2.735,187
"2020-05-15 02:47:00",10538,-0.008,2.735,187
"2020-05-15 02:48:00",10539,-0.008,2.735,187
"2020-05-15 02:49:00",10540,-0.008,2.735,187
"2020-05-15 02:50:00",10541,-0.008,2.735,187
"2020-05-15 02:51:00",10542,-0.008,2.735,187
"2020-05-15 02:52:00",10543,-0.008,2.735,187
"2020-05-15 02:53:00",10544,-0.008,2.735,187
"2020-05-15 02:54:00",10545,-0.008,2.735,187
"2020-05-15 02:55:00",10546,-0.008,2.735,187
"2020-05-15 02:56:00",10547,-0.008,2.735,187
"2020-05-15 02:57:00",10548,-0.003,2.73,182
"2020-05-15 02:58:00",10549,-0.003,2.73,182
"2020-05-15 02:59:00",10550,-0.003,2.73,182
"2020-05-15 03:00:00",10551,-0.003,2.73,182
"2020-05-15 03:01:00",10552,-0.003,2.73,182
"2020-05-15 03:02:00",10553,-0.003,2.73,182
"2020-05-15 03:03:00",10554,-0.003,2.73,182
"2020-05-15 03:04:00",10555,-0.003,2.73,182
"2020-05-15 03:05:00",10556,-0.003,2.73,182
"2020-05-15 03:06:00",10557,-0.003,2.73,182
"2020-05-15 03:07:00",10558,-0.003,2.73,182
"2020-05-15 03:08:00",10559,-0.003,2.73,182
"2020-05-15 03:09:00",10560,-0.003,2.73,182
"2020-05-15 03:10:00",10561,-0.003,2.73,182
"2020-05-15 03:11:00",10562,-0.003,2.73,182
"2020-05-15 03:12:00",10563,-0.003,2.73,182
"2020-05-15 03:13:00",10564,-0.003,2.73,182
"2020-05-15 03:14:00",10565,-0.003,2.73,182
"2020-05-15 03:15:00",10566,-0.003,2.73,182
"2020-05-15 03:16:00",10567,-0.003,2.73,182
"2020-05-15 03:17:00",10568,-0.003,2.73,182
"2020-05-15 03:18:00",10569,-0.003,2.73,182
"2020-05-15 03:19:00",10570,-0.003,2.73,182
"2020-05-15 03:20:00",10571,-0.003,2.73,182
"2020-05-15 03:21:00",10572,-0.003,2.73,182
"2020-05-15 03:22:00",10573,-0.003,2.73,182
"2020-05-15 03:23:00",10574,-0.003,2.73,182
"2020-05-15 03:24:00",10575,-0.003,2.73,182
"2020-05-15 03:25:00",10576,-0.003,2.73,182
"2020-05-15 03:26:00",10577,-0.002,2.729,187
"2020-05-15 03:27:00",10578,-0.002,2.729,187
"2020-05-15 03:28:00",10579,-0.002,2.729,187
"2020-05-15 03:29:00",10580,-0.002,2.729,187
