"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version33 May 5 2020 EB.CR6","3732","TPS_3100_Data"
"TIMESTAMP","RECORD","RX","TPS_Wind_Spd_ms_Max","TPS_Baro_Press_mbar_Corrected","TPS_Time_Sec","TPS_Precip_Rate_1minAvg_mmHr","TPS_Total_Accum_mm","TPS_Pwr_Sensor_W","TPS_Pwr_Ref_W","TPS_Amb_Temp_C","TPS_Enc_Temp_C","TPS_Wind_Spd_ms","TPS_Coll_Eff","TPS_Pwr_Offset_W","TPS_Pwr_OffsetRad_W","TPS_Raw_Precip_Rate_1minAvg_mmHr","TPS_Raw_Precip_Rate_5minAvg_mmHr","TPS_Solar_Rad_Wm2","TPS_Net_Rad_Wm2","TPS_Baro_Press_mbar","TPS_Air_Temp_C","TPS_RH_perc"
"TS","RN","","","mbar","","","","","","","","","","","","","","","","","",""
"","","Smp","Max","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-05-05 23:52:00",253," 1588724190,00.00,00000.97,020.3,017.3,009.4,018.8,00.3,1.000,000.5,000.0,00.30,-0.20,0008,-036,0998.2,010.4,47.9  ",0.3,1014,1.588724E+09,0,0.97,20.3,17.3,9.4,18.8,0.3,1,0.5,0,0.3,-0.2,8,-36,998.2,10.4,47.9
"2020-05-05 23:53:00",254," 1588724250,00.00,00000.97,017.6,017.6,009.4,018.8,00.3,1.000,000.5,000.0,-0.06,-0.12,0008,-035,0998.2,010.4,49.7  ",0.3,1014,1.588724E+09,0,0.97,17.6,17.6,9.4,18.8,0.3,1,0.5,0,-0.06,-0.12,8,-35,998.2,10.4,49.7
"2020-05-05 23:54:00",255," 1588724310,00.00,00000.97,017.5,018.5,009.4,018.8,00.4,1.000,000.5,000.0,-0.19,-0.18,0007,-035,0998.2,010.4,50.7  ",0.4,1014,1.588724E+09,0,0.97,17.5,18.5,9.4,18.8,0.4,1,0.5,0,-0.19,-0.18,7,-35,998.2,10.4,50.7
"2020-05-05 23:55:00",256," 1588724370,00.00,00000.97,023.3,022.7,009.3,018.8,00.5,1.000,000.6,000.0,00.01,-0.17,0007,-036,0998.2,010.5,47.7  ",0.5,1014,1.588724E+09,0,0.97,23.3,22.7,9.3,18.8,0.5,1,0.6,0,0.01,-0.17,7,-36,998.2,10.5,47.7
"2020-05-05 23:56:00",257," 1588724430,00.00,00000.97,019.4,017.3,009.3,018.8,00.3,1.000,000.5,000.0,00.19,-0.14,0006,-035,0998.2,010.4,48.9  ",0.3,1014,1.588724E+09,0,0.97,19.4,17.3,9.3,18.8,0.3,1,0.5,0,0.19,-0.14,6,-35,998.2,10.4,48.9
"2020-05-05 23:57:00",258," 1588724490,00.00,00000.97,024.1,021.2,009.3,018.7,00.5,1.000,000.5,000.0,00.27,-0.13,0006,-035,0998.2,010.3,48.4  ",0.5,1014,1.588724E+09,0,0.97,24.1,21.2,9.3,18.7,0.5,1,0.5,0,0.27,-0.13,6,-35,998.2,10.3,48.4
"2020-05-05 23:58:00",259," 1588724550,00.00,00000.97,015.9,011.3,009.2,018.7,00.1,1.000,000.4,000.0,00.51,-0.08,0006,-035,0998.3,010.5,48.2  ",0.1,1014,1.588725E+09,0,0.97,15.9,11.3,9.2,18.7,0.1,1,0.4,0,0.51,-0.08,6,-35,998.3,10.5,48.2
"2020-05-05 23:59:00",260," 1588724610,00.00,00000.97,014.8,012.7,009.2,018.7,00.1,1.000,000.5,000.0,00.20,00.01,0005,-034,0998.3,010.2,48.4  ",0.1,1014,1.588725E+09,0,0.97,14.8,12.7,9.2,18.7,0.1,1,0.5,0,0.2,0.01,5,-34,998.3,10.2,48.4
"2020-05-06 00:00:00",261," 1588724670,00.00,00000.97,016.0,013.7,009.2,018.7,00.2,1.000,000.5,000.0,00.21,00.07,0005,-034,0998.4,010.2,49.3  ",0.2,1014,1.588725E+09,0,0.97,16,13.7,9.2,18.7,0.2,1,0.5,0,0.21,0.07,5,-34,998.4,10.2,49.3
"2020-05-06 00:01:00",262," 1588724730,00.00,00000.00,017.3,014.4,009.2,018.7,00.2,1.000,000.5,000.0,00.29,00.09,0005,-035,0998.3,010.1,49.0  ",0.2,1014,1.588725E+09,0,0,17.3,14.4,9.2,18.7,0.2,1,0.5,0,0.29,0.09,5,-35,998.3,10.1,49
