"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version34 May 7 2020.CR6","30372","TPS_3100_Data"
"TIMESTAMP","RECORD","RX","TPS_Wind_Spd_ms_Max","TPS_Baro_Press_mbar_Corrected","TPS_Time_Sec","TPS_Precip_Rate_1minAvg_mmHr","TPS_Total_Accum_mm","TPS_Pwr_Sensor_W","TPS_Pwr_Ref_W","TPS_Amb_Temp_C","TPS_Enc_Temp_C","TPS_Wind_Spd_ms","TPS_Coll_Eff","TPS_Pwr_Offset_W","TPS_Pwr_OffsetRad_W","TPS_Raw_Precip_Rate_1minAvg_mmHr","TPS_Raw_Precip_Rate_5minAvg_mmHr","TPS_Solar_Rad_Wm2","TPS_Net_Rad_Wm2","TPS_Baro_Press_mbar","TPS_Air_Temp_C","TPS_RH_perc"
"TS","RN","","","mbar","","","","","","","","","","","","","","","","","",""
"","","Smp","Max","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-05-14 23:52:00",10363," 1589501804,00.00,00000.03,024.0,023.2,015.4,024.4,00.7,1.000,000.6,000.0,00.03,-0.14,0014,-052,1000.8,016.3,23.7  ",0.7,1017,1.589502E+09,0,0.03,24,23.2,15.4,24.4,0.7,1,0.6,0,0.03,-0.14,14,-52,1000.8,16.3,23.7
"2020-05-14 23:53:00",10364," 1589501864,00.00,00000.03,020.9,020.2,015.4,024.4,00.5,1.000,000.5,000.0,00.02,-0.12,0014,-049,1000.9,016.2,23.9  ",0.5,1017,1.589502E+09,0,0.03,20.9,20.2,15.4,24.4,0.5,1,0.5,0,0.02,-0.12,14,-49,1000.9,16.2,23.9
"2020-05-14 23:54:00",10365," 1589501924,00.00,00000.03,022.4,019.9,015.4,024.4,00.5,1.000,000.5,000.0,00.24,-0.13,0014,-047,1000.7,016.1,25.1  ",0.5,1016,1.589502E+09,0,0.03,22.4,19.9,15.4,24.4,0.5,1,0.5,0,0.24,-0.13,14,-47,1000.7,16.1,25.1
"2020-05-14 23:55:00",10366," 1589501984,00.00,00000.03,019.7,019.2,015.4,024.3,00.5,1.000,000.5,000.0,-0.01,-0.10,0013,-046,1000.9,016.1,25.4  ",0.5,1017,1.589502E+09,0,0.03,19.7,19.2,15.4,24.3,0.5,1,0.5,0,-0.01,-0.1,13,-46,1000.9,16.1,25.4
"2020-05-14 23:56:00",10367," 1589502044,00.00,00000.03,021.0,019.3,015.4,024.3,00.5,1.000,000.5,000.0,00.14,-0.11,0013,-047,1000.7,016.0,25.6  ",0.5,1016,1.589502E+09,0,0.03,21,19.3,15.4,24.3,0.5,1,0.5,0,0.14,-0.11,13,-47,1000.7,16,25.6
"2020-05-14 23:57:00",10368," 1589502104,00.00,00000.03,023.6,024.4,015.4,024.3,00.7,1.000,000.6,000.0,-0.17,-0.12,0013,-048,1000.9,016.1,24.7  ",0.7,1017,1.589502E+09,0,0.03,23.6,24.4,15.4,24.3,0.7,1,0.6,0,-0.17,-0.12,13,-48,1000.9,16.1,24.7
"2020-05-14 23:58:00",10369," 1589502164,00.00,00000.03,019.5,019.5,015.4,024.3,00.5,1.000,000.5,000.0,-0.06,-0.15,0014,-050,1000.8,016.0,25.7  ",0.5,1017,1.589502E+09,0,0.03,19.5,19.5,15.4,24.3,0.5,1,0.5,0,-0.06,-0.15,14,-50,1000.8,16,25.7
"2020-05-14 23:59:00",10370," 1589502224,00.00,00000.03,020.3,020.4,015.3,024.2,00.5,1.000,000.5,000.0,-0.08,-0.16,0014,-052,1000.8,015.9,25.7  ",0.5,1017,1.589502E+09,0,0.03,20.3,20.4,15.3,24.2,0.5,1,0.5,0,-0.08,-0.16,14,-52,1000.8,15.9,25.7
"2020-05-15 00:00:00",10371," 1589502284,00.00,00000.03,022.9,021.0,015.3,024.2,00.5,1.000,000.5,000.0,00.16,-0.21,0014,-055,1000.9,015.8,25.3  ",0.5,1017,1.589502E+09,0,0.03,22.9,21,15.3,24.2,0.5,1,0.5,0,0.16,-0.21,14,-55,1000.9,15.8,25.3
"2020-05-15 00:01:00",10372," 1589502344,00.00,00000.00,027.5,026.3,015.3,024.2,00.8,1.000,000.6,000.0,00.07,-0.20,0014,-059,1000.9,016.1,23.8  ",0.8,1017,1.589502E+09,0,0,27.5,26.3,15.3,24.2,0.8,1,0.6,0,0.07,-0.2,14,-59,1000.9,16.1,23.8
