"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version32.CR6 Feb 3rd.cr6","64318","TPS_3100_Data"
"TIMESTAMP","RECORD","RX","TPS_Time_Sec","TPS_Precip_Rate_1minAvg_mmHr","TPS_Total_Accum_mm","TPS_Pwr_Sensor_W","TPS_Pwr_Ref_W","TPS_Amb_Temp_C","TPS_Enc_Temp_C","TPS_Wind_Spd_ms","TPS_Coll_Eff","TPS_Pwr_Offset_W","TPS_Pwr_OffsetRad_W","TPS_Raw_Precip_Rate_1minAvg_mmHr","TPS_Raw_Precip_Rate_5minAvg_mmHr","TPS_Solar_Rad_Wm2","TPS_Net_Rad_Wm2","TPS_Baro_Press_mbar","TPS_Air_Temp_C","TPS_RH_perc"
"TS","RN","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-02-28 00:00:00",6953," 1582849360,00.00,00024.33,075.3,075.9,-04.8,004.7,03.5,0.618,001.1,000.0,-0.18,-0.44,0002,-006,0978.5,-04.5,40.0  ",1.582849E+09,0,24.33,75.3,75.9,-4.8,4.7,3.5,0.618,1.1,0,-0.18,-0.44,2,-6,978.5,-4.5,40
"2020-02-28 00:05:00",6954," 1582849660,00.00,00000.00,074.0,072.4,-04.8,004.7,03.2,0.645,001.0,-00.0,00.07,-0.15,0002,-006,0978.4,-04.5,40.0  ",1.58285E+09,0,0,74,72.4,-4.8,4.7,3.2,0.645,1,-0,0.07,-0.15,2,-6,978.4,-4.5,40
"2020-02-28 00:10:00",6955," 1582849961,00.00,00000.00,059.5,059.0,-04.9,004.7,02.3,0.761,000.9,-00.0,-0.04,00.06,0002,-004,0978.3,-04.5,39.9  ",1.58285E+09,0,0,59.5,59,-4.9,4.7,2.3,0.761,0.9,-0,-0.04,0.06,2,-4,978.3,-4.5,39.9
"2020-02-28 00:15:00",6956," 1582850260,00.00,00000.00,074.5,074.0,-04.9,004.6,03.3,0.633,001.1,-00.0,-0.07,-0.13,0002,-006,0978.4,-04.5,40.0  ",1.58285E+09,0,0,74.5,74,-4.9,4.6,3.3,0.633,1.1,-0,-0.07,-0.13,2,-6,978.4,-4.5,40
"2020-02-28 00:20:00",6957," 1582850560,00.00,00000.00,058.1,056.1,-04.9,004.6,02.1,0.788,000.9,-00.0,00.13,-0.21,0002,-005,0978.3,-04.5,39.9  ",1.582851E+09,0,0,58.1,56.1,-4.9,4.6,2.1,0.788,0.9,-0,0.13,-0.21,2,-5,978.3,-4.5,39.9
"2020-02-28 00:25:00",6958," 1582850860,00.00,00000.00,072.2,068.2,-04.9,004.6,02.9,0.679,001.0,-00.0,00.33,-0.08,0002,-005,0978.4,-04.6,40.0  ",1.582851E+09,0,0,72.2,68.2,-4.9,4.6,2.9,0.679,1,-0,0.33,-0.08,2,-5,978.4,-4.6,40
"2020-02-28 00:30:00",6959," 1582851160,00.00,00000.02,089.5,090.8,-05.0,004.5,04.6,0.521,001.2,-00.0,-0.28,00.08,0002,-005,0978.2,-04.8,40.5  ",1.582851E+09,0,0.02,89.5,90.8,-5,4.5,4.6,0.521,1.2,-0,-0.28,0.08,2,-5,978.2,-4.8,40.5
"2020-02-28 00:35:00",6960," 1582851460,00.00,00000.02,109.8,100.1,-05.2,004.4,05.4,0.473,001.3,-00.0,00.95,00.09,0003,-004,0978.3,-04.9,40.8  ",1.582851E+09,0,0.02,109.8,100.1,-5.2,4.4,5.4,0.473,1.3,-0,0.95,0.09,3,-4,978.3,-4.9,40.8
