"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version34 May 7 2020.CR6","30372","TPS_3100_Data"
"TIMESTAMP","RECORD","RX","TPS_Wind_Spd_ms_Max","TPS_Baro_Press_mbar_Corrected","TPS_Time_Sec","TPS_Precip_Rate_1minAvg_mmHr","TPS_Total_Accum_mm","TPS_Pwr_Sensor_W","TPS_Pwr_Ref_W","TPS_Amb_Temp_C","TPS_Enc_Temp_C","TPS_Wind_Spd_ms","TPS_Coll_Eff","TPS_Pwr_Offset_W","TPS_Pwr_OffsetRad_W","TPS_Raw_Precip_Rate_1minAvg_mmHr","TPS_Raw_Precip_Rate_5minAvg_mmHr","TPS_Solar_Rad_Wm2","TPS_Net_Rad_Wm2","TPS_Baro_Press_mbar","TPS_Air_Temp_C","TPS_RH_perc"
"TS","RN","","","mbar","","","","","","","","","","","","","","","","","",""
"","","Smp","Max","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-05-12 23:52:00",7483," 1589329001,00.00,00000.03,049.3,050.5,006.8,015.8,02.2,1.000,000.8,000.1,-0.26,-0.06,0012,-091,0999.2,007.3,26.1  ",2.2,1015,1.589329E+09,0,0.03,49.3,50.5,6.8,15.8,2.2,1,0.8,0.1,-0.26,-0.06,12,-91,999.2,7.3,26.1
"2020-05-12 23:53:00",7484," 1589329061,00.00,00000.03,053.6,055.7,006.8,015.7,02.6,1.000,000.9,000.1,-0.38,-0.16,0011,-091,0999.2,007.3,25.8  ",2.6,1015,1.589329E+09,0,0.03,53.6,55.7,6.8,15.7,2.6,1,0.9,0.1,-0.38,-0.16,11,-91,999.2,7.3,25.8
"2020-05-12 23:54:00",7485," 1589329121,00.00,00000.03,059.9,059.0,006.8,015.7,02.8,1.000,000.9,000.1,-0.01,-0.27,0011,-087,0999.3,007.3,25.4  ",2.8,1015,1.589329E+09,0,0.03,59.9,59,6.8,15.7,2.8,1,0.9,0.1,-0.01,-0.27,11,-87,999.3,7.3,25.4
"2020-05-12 23:55:00",7486," 1589329181,00.00,00000.03,035.9,034.9,006.7,015.7,01.2,1.000,000.7,000.1,00.02,-0.25,0011,-083,0999.3,007.3,25.6  ",1.2,1015,1.589329E+09,0,0.03,35.9,34.9,6.7,15.7,1.2,1,0.7,0.1,0.02,-0.25,11,-83,999.3,7.3,25.6
"2020-05-12 23:56:00",7487," 1589329241,00.00,00000.03,058.1,056.7,006.7,015.7,02.7,1.000,000.9,000.1,00.04,-0.29,0011,-082,0999.3,007.3,25.4  ",2.7,1015,1.589329E+09,0,0.03,58.1,56.7,6.7,15.7,2.7,1,0.9,0.1,0.04,-0.29,11,-82,999.3,7.3,25.4
"2020-05-12 23:57:00",7488," 1589329301,00.00,00000.03,046.3,048.0,006.7,015.6,02.0,1.000,000.8,000.1,-0.32,-0.33,0011,-080,0999.2,007.3,25.5  ",2,1015,1.589329E+09,0,0.03,46.3,48,6.7,15.6,2,1,0.8,0.1,-0.32,-0.33,11,-80,999.2,7.3,25.5
"2020-05-12 23:58:00",7489," 1589329361,00.00,00000.03,039.4,040.5,006.7,015.6,01.5,1.000,000.7,000.1,-0.23,-0.28,0010,-081,0999.3,007.3,26.0  ",1.5,1015,1.589329E+09,0,0.03,39.4,40.5,6.7,15.6,1.5,1,0.7,0.1,-0.23,-0.28,10,-81,999.3,7.3,26
"2020-05-12 23:59:00",7490," 1589329421,00.00,00000.03,034.2,032.6,006.7,015.6,01.0,1.000,000.6,000.1,00.11,-0.32,0011,-083,0999.3,007.3,25.8  ",1,1015,1.589329E+09,0,0.03,34.2,32.6,6.7,15.6,1,1,0.6,0.1,0.11,-0.32,11,-83,999.3,7.3,25.8
"2020-05-13 00:00:00",7491," 1589329481,00.00,00000.03,042.0,039.6,006.6,015.6,01.5,1.000,000.7,000.1,00.18,-0.24,0010,-087,0999.3,007.2,26.0  ",1.5,1015,1.58933E+09,0,0.03,42,39.6,6.6,15.6,1.5,1,0.7,0.1,0.18,-0.24,10,-87,999.3,7.2,26
"2020-05-13 00:01:00",7492," 1589329541,00.00,00000.00,043.0,044.1,006.6,015.5,01.7,1.000,000.8,000.1,-0.25,-0.27,0010,-092,0999.2,007.2,26.7  ",1.7,1015,1.58933E+09,0,0,43,44.1,6.6,15.5,1.7,1,0.8,0.1,-0.25,-0.27,10,-92,999.2,7.2,26.7
